;;FR Base FR Base;FR Base FR Base;FR Base FR Base;FR Base FR Base;;;;;;;;;;;;;;
Date;Nature relève;Consommation (kWh);Index;Consommation (kWh);Index;;;;;;;;;;;;;;
26-09-2024;evt réelle;8;5 000;;;;;;;;;;;;;;;;
27-09-2024;estimée;7;5 008;;;;;;;;;;;;;;;;
28-09-2024;evt réelle;9;5 015;;;;;;;;;;;;;;;;
29-09-2024;evt réelle;6;5 024;;;;;;;;;;;;;;;;
30-09-2024;evt réelle;6;5 030;;;;;;;;;;;;;;;;
01-10-2024;estimée;6;5 036;;;;;;;;;;;;;;;;
02-10-2024;evt réelle;5;5 042;;;;;;;;;;;;;;;;
03-10-2024;evt réelle;10;5 047;;;;;;;;;;;;;;;;
04-10-2024;evt réelle;6;5 057;;;;;;;;;;;;;;;;
05-10-2024;estimée;9;5 063;;;;;;;;;;;;;;;;
06-10-2024;estimée;12;5 072;;;;;;;;;;;;;;;;
07-10-2024;evt réelle;9;5 084;;;;;;;;;;;;;;;;
08-10-2024;evt réelle;10;5 093;;;;;;;;;;;;;;;;
09-10-2024;evt réelle;7;5 103;;;;;;;;;;;;;;;;
10-10-2024;estimée;10;5 110;;;;;;;;;;;;;;;;
11-10-2024;estimée;9;5 120;;;;;;;;;;;;;;;;
12-10-2024;evt réelle;13;5 129;;;;;;;;;;;;;;;;
13-10-2024;estimée;10;5 142;;;;;;;;;;;;;;;;
14-10-2024;evt réelle;10;5 152;;;;;;;;;;;;;;;;
15-10-2024;evt réelle;6;5 162;;;;;;;;;;;;;;;;
16-10-2024;evt réelle;10;5 168;;;;;;;;;;;;;;;;
17-10-2024;evt réelle;7;5 178;;;;;;;;;;;;;;;;
18-10-2024;evt réelle;11;5 185;;;;;;;;;;;;;;;;
19-10-2024;evt réelle;14;5 196;;;;;;;;;;;;;;;;
20-10-2024;evt réelle;9;5 210;;;;;;;;;;;;;;;;
21-10-2024;evt réelle;9;5 219;;;;;;;;;;;;;;;;
22-10-2024;evt réelle;11;5 228;;;;;;;;;;;;;;;;
23-10-2024;evt réelle;8;5 239;;;;;;;;;;;;;;;;
24-10-2024;evt réelle;7;5 247;;;;;;;;;;;;;;;;
25-10-2024;evt réelle;11;5 254;;;;;;;;;;;;;;;;
26-10-2024;evt réelle;10;5 265;;;;;;;;;;;;;;;;
27-10-2024;evt réelle;12;5 275;;;;;;;;;;;;;;;;
28-10-2024;evt réelle;12;5 287;;;;;;;;;;;;;;;;
29-10-2024;estimée;14;5 299;;;;;;;;;;;;;;;;
30-10-2024;evt réelle;9;5 313;;;;;;;;;;;;;;;;
31-10-2024;evt réelle;15;5 322;;;;;;;;;;;;;;;;
01-11-2024;evt réelle;8;5 337;;;;;;;;;;;;;;;;
02-11-2024;evt réelle;12;5 345;;;;;;;;;;;;;;;;
03-11-2024;evt réelle;13;5 357;;;;;;;;;;;;;;;;
04-11-2024;evt réelle;13;5 370;;;;;;;;;;;;;;;;
05-11-2024;evt réelle;14;5 383;;;;;;;;;;;;;;;;
06-11-2024;evt réelle;13;5 397;;;;;;;;;;;;;;;;
07-11-2024;evt réelle;12;5 410;;;;;;;;;;;;;;;;
08-11-2024;estimée;14;5 422;;;;;;;;;;;;;;;;
09-11-2024;evt réelle;13;5 436;;;;;;;;;;;;;;;;
10-11-2024;evt réelle;14;5 449;;;;;;;;;;;;;;;;
11-11-2024;estimée;8;5 463;;;;;;;;;;;;;;;;
12-11-2024;estimée;11;5 471;;;;;;;;;;;;;;;;
13-11-2024;estimée;13;5 482;;;;;;;;;;;;;;;;
14-11-2024;evt réelle;10;5 495;;;;;;;;;;;;;;;;
15-11-2024;estimée;11;5 505;;;;;;;;;;;;;;;;
16-11-2024;evt réelle;14;5 516;;;;;;;;;;;;;;;;
17-11-2024;estimée;14;5 530;;;;;;;;;;;;;;;;
18-11-2024;evt réelle;12;5 544;;;;;;;;;;;;;;;;
19-11-2024;estimée;12;5 556;;;;;;;;;;;;;;;;
20-11-2024;estimée;16;5 568;;;;;;;;;;;;;;;;
21-11-2024;estimée;12;5 584;;;;;;;;;;;;;;;;
22-11-2024;estimée;11;5 596;;;;;;;;;;;;;;;;
23-11-2024;evt réelle;14;5 607;;;;;;;;;;;;;;;;
24-11-2024;evt réelle;15;5 621;;;;;;;;;;;;;;;;
25-11-2024;evt réelle;13;5 636;;;;;;;;;;;;;;;;
26-11-2024;evt réelle;12;5 649;;;;;;;;;;;;;;;;
27-11-2024;estimée;10;5 661;;;;;;;;;;;;;;;;
28-11-2024;evt réelle;14;5 671;;;;;;;;;;;;;;;;
29-11-2024;evt réelle;13;5 685;;;;;;;;;;;;;;;;
30-11-2024;evt réelle;11;5 698;;;;;;;;;;;;;;;;
01-12-2024;evt réelle;15;5 709;;;;;;;;;;;;;;;;
02-12-2024;evt réelle;16;5 724;;;;;;;;;;;;;;;;
03-12-2024;estimée;9;5 740;;;;;;;;;;;;;;;;
04-12-2024;estimée;15;5 749;;;;;;;;;;;;;;;;
05-12-2024;evt réelle;12;5 764;;;;;;;;;;;;;;;;
06-12-2024;estimée;15;5 776;;;;;;;;;;;;;;;;
07-12-2024;evt réelle;15;5 791;;;;;;;;;;;;;;;;
08-12-2024;evt réelle;18;5 806;;;;;;;;;;;;;;;;
09-12-2024;estimée;13;5 824;;;;;;;;;;;;;;;;
10-12-2024;estimée;13;5 837;;;;;;;;;;;;;;;;
11-12-2024;estimée;14;5 850;;;;;;;;;;;;;;;;
12-12-2024;evt réelle;15;5 864;;;;;;;;;;;;;;;;
13-12-2024;evt réelle;19;5 879;;;;;;;;;;;;;;;;
14-12-2024;evt réelle;15;5 898;;;;;;;;;;;;;;;;
15-12-2024;estimée;14;5 913;;;;;;;;;;;;;;;;
16-12-2024;evt réelle;15;5 927;;;;;;;;;;;;;;;;
17-12-2024;evt réelle;15;5 942;;;;;;;;;;;;;;;;
18-12-2024;estimée;11;5 957;;;;;;;;;;;;;;;;
19-12-2024;evt réelle;14;5 968;;;;;;;;;;;;;;;;
