;;FR Base FR Base;FR Base FR Base;;;;;;;;;;;;;;;;
Date;Nature relève;Consommation (kWh);Index;;;;;;;;;;;;;;;;
01-08-2025;evt réelle;7;20 000;;;;;;;;;;;;;;;;
02-08-2025;evt réelle;9;20 007;;;;;;;;;;;;;;;;
03-08-2025;estimée;3;20 016;;;;;;;;;;;;;;;;
04-08-2025;evt réelle;4;20 019;;;;;;;;;;;;;;;;
05-08-2025;evt réelle;5;20 023;;;;;;;;;;;;;;;;
06-08-2025;evt réelle;4;20 028;;;;;;;;;;;;;;;;
07-08-2025;evt réelle;4;20 032;;;;;;;;;;;;;;;;
08-08-2025;evt réelle;4;20 036;;;;;;;;;;;;;;;;
09-08-2025;evt réelle;6;20 040;;;;;;;;;;;;;;;;
10-08-2025;evt réelle;11;20 046;;;;;;;;;;;;;;;;
11-08-2025;estimée;7;20 057;;;;;;;;;;;;;;;;
12-08-2025;estimée;5;20 064;;;;;;;;;;;;;;;;
13-08-2025;evt réelle;3;20 069;;;;;;;;;;;;;;;;
14-08-2025;evt réelle;5;20 072;;;;;;;;;;;;;;;;
15-08-2025;estimée;5;20 077;;;;;;;;;;;;;;;;
16-08-2025;evt réelle;8;20 082;;;;;;;;;;;;;;;;
17-08-2025;estimée;6;20 090;;;;;;;;;;;;;;;;
18-08-2025;evt réelle;6;20 096;;;;;;;;;;;;;;;;
19-08-2025;estimée;8;20 102;;;;;;;;;;;;;;;;
20-08-2025;evt réelle;5;20 110;;;;;;;;;;;;;;;;
21-08-2025;evt réelle;7;20 115;;;;;;;;;;;;;;;;
22-08-2025;evt réelle;11;20 122;;;;;;;;;;;;;;;;
23-08-2025;estimée;5;20 133;;;;;;;;;;;;;;;;
24-08-2025;evt réelle;9;20 138;;;;;;;;;;;;;;;;
25-08-2025;evt réelle;2;20 147;;;;;;;;;;;;;;;;
26-08-2025;evt réelle;7;20 149;;;;;;;;;;;;;;;;
27-08-2025;evt réelle;2;20 156;;;;;;;;;;;;;;;;
28-08-2025;evt réelle;3;20 158;;;;;;;;;;;;;;;;
29-08-2025;evt réelle;5;20 161;;;;;;;;;;;;;;;;
30-08-2025;estimée;6;20 166;;;;;;;;;;;;;;;;
31-08-2025;evt réelle;6;20 172;;;;;;;;;;;;;;;;
01-09-2025;evt réelle;6;20 178;;;;;;;;;;;;;;;;
02-09-2025;evt réelle;5;20 184;;;;;;;;;;;;;;;;
03-09-2025;evt réelle;4;20 189;;;;;;;;;;;;;;;;
04-09-2025;evt réelle;6;20 193;;;;;;;;;;;;;;;;
05-09-2025;evt réelle;3;20 199;;;;;;;;;;;;;;;;
06-09-2025;evt réelle;8;20 202;;;;;;;;;;;;;;;;
07-09-2025;evt réelle;7;20 210;;;;;;;;;;;;;;;;
08-09-2025;evt réelle;4;20 217;;;;;;;;;;;;;;;;
09-09-2025;estimée;5;20 221;;;;;;;;;;;;;;;;
10-09-2025;evt réelle;9;20 226;;;;;;;;;;;;;;;;
11-09-2025;evt réelle;6;20 235;;;;;;;;;;;;;;;;
12-09-2025;evt réelle;6;20 241;;;;;;;;;;;;;;;;
13-09-2025;evt réelle;10;20 247;;;;;;;;;;;;;;;;
14-09-2025;evt réelle;6;20 257;;;;;;;;;;;;;;;;
15-09-2025;evt réelle;7;20 263;;;;;;;;;;;;;;;;
16-09-2025;evt réelle;10;20 270;;;;;;;;;;;;;;;;
17-09-2025;evt réelle;7;20 280;;;;;;;;;;;;;;;;
18-09-2025;evt réelle;6;20 287;;;;;;;;;;;;;;;;
19-09-2025;evt réelle;3;20 293;;;;;;;;;;;;;;;;
20-09-2025;evt réelle;8;20 296;;;;;;;;;;;;;;;;
21-09-2025;evt réelle;9;20 304;;;;;;;;;;;;;;;;
22-09-2025;evt réelle;8;20 313;;;;;;;;;;;;;;;;
23-09-2025;evt réelle;9;20 321;;;;;;;;;;;;;;;;
24-09-2025;evt réelle;6;20 330;;;;;;;;;;;;;;;;
25-09-2025;evt réelle;9;20 336;;;;;;;;;;;;;;;;
26-09-2025;evt réelle;7;20 345;;;;;;;;;;;;;;;;
27-09-2025;estimée;9;20 352;;;;;;;;;;;;;;;;
28-09-2025;estimée;5;20 361;;;;;;;;;;;;;;;;
29-09-2025;evt réelle;5;20 366;;;;;;;;;;;;;;;;
30-09-2025;evt réelle;8;20 371;;;;;;;;;;;;;;;;
01-10-2025;evt réelle;6;20 379;;;;;;;;;;;;;;;;
02-10-2025;evt réelle;8;20 385;;;;;;;;;;;;;;;;
03-10-2025;estimée;8;20 393;;;;;;;;;;;;;;;;
04-10-2025;evt réelle;9;20 401;;;;;;;;;;;;;;;;
05-10-2025;evt réelle;10;20 410;;;;;;;;;;;;;;;;
06-10-2025;evt réelle;9;20 420;;;;;;;;;;;;;;;;
07-10-2025;evt réelle;9;20 429;;;;;;;;;;;;;;;;
08-10-2025;estimée;8;20 438;;;;;;;;;;;;;;;;
09-10-2025;evt réelle;12;20 446;;;;;;;;;;;;;;;;
10-10-2025;evt réelle;8;20 458;;;;;;;;;;;;;;;;
11-10-2025;evt réelle;10;20 466;;;;;;;;;;;;;;;;
12-10-2025;evt réelle;11;20 476;;;;;;;;;;;;;;;;
13-10-2025;evt réelle;10;20 487;;;;;;;;;;;;;;;;
14-10-2025;evt réelle;10;20 497;;;;;;;;;;;;;;;;
15-10-2025;evt réelle;12;20 507;;;;;;;;;;;;;;;;
16-10-2025;estimée;10;20 519;;;;;;;;;;;;;;;;
17-10-2025;evt réelle;9;20 529;;;;;;;;;;;;;;;;
18-10-2025;estimée;10;20 538;;;;;;;;;;;;;;;;
19-10-2025;evt réelle;8;20 548;;;;;;;;;;;;;;;;
20-10-2025;estimée;13;20 556;;;;;;;;;;;;;;;;
21-10-2025;evt réelle;9;20 569;;;;;;;;;;;;;;;;
22-10-2025;estimée;8;20 578;;;;;;;;;;;;;;;;
23-10-2025;evt réelle;8;20 586;;;;;;;;;;;;;;;;
24-10-2025;evt réelle;9;20 594;;;;;;;;;;;;;;;;
25-10-2025;estimée;11;20 603;;;;;;;;;;;;;;;;
26-10-2025;evt réelle;13;20 614;;;;;;;;;;;;;;;;
27-10-2025;evt réelle;9;20 627;;;;;;;;;;;;;;;;
28-10-2025;evt réelle;13;20 636;;;;;;;;;;;;;;;;
29-10-2025;evt réelle;9;20 649;;;;;;;;;;;;;;;;
30-10-2025;estimée;14;20 658;;;;;;;;;;;;;;;;
31-10-2025;estimée;11;20 672;;;;;;;;;;;;;;;;
01-11-2025;evt réelle;15;20 683;;;;;;;;;;;;;;;;
02-11-2025;estimée;12;20 698;;;;;;;;;;;;;;;;
03-11-2025;evt réelle;14;20 710;;;;;;;;;;;;;;;;
04-11-2025;evt réelle;10;20 724;;;;;;;;;;;;;;;;
05-11-2025;evt réelle;10;20 734;;;;;;;;;;;;;;;;
06-11-2025;evt réelle;12;20 744;;;;;;;;;;;;;;;;
07-11-2025;evt réelle;11;20 756;;;;;;;;;;;;;;;;
08-11-2025;evt réelle;14;20 767;;;;;;;;;;;;;;;;
09-11-2025;estimée;11;20 781;;;;;;;;;;;;;;;;
10-11-2025;evt réelle;11;20 792;;;;;;;;;;;;;;;;
11-11-2025;evt réelle;13;20 803;;;;;;;;;;;;;;;;
12-11-2025;evt réelle;12;20 816;;;;;;;;;;;;;;;;
13-11-2025;evt réelle;12;20 828;;;;;;;;;;;;;;;;
14-11-2025;estimée;10;20 840;;;;;;;;;;;;;;;;
15-11-2025;evt réelle;16;20 850;;;;;;;;;;;;;;;;
16-11-2025;evt réelle;9;20 866;;;;;;;;;;;;;;;;
17-11-2025;evt réelle;11;20 875;;;;;;;;;;;;;;;;
18-11-2025;evt réelle;10;20 886;;;;;;;;;;;;;;;;
19-11-2025;estimée;12;20 896;;;;;;;;;;;;;;;;
20-11-2025;estimée;11;20 908;;;;;;;;;;;;;;;;
21-11-2025;evt réelle;13;20 919;;;;;;;;;;;;;;;;
22-11-2025;evt réelle;17;20 932;;;;;;;;;;;;;;;;
23-11-2025;evt réelle;13;20 949;;;;;;;;;;;;;;;;
24-11-2025;estimée;14;20 962;;;;;;;;;;;;;;;;
25-11-2025;evt réelle;9;20 976;;;;;;;;;;;;;;;;
26-11-2025;evt réelle;10;20 985;;;;;;;;;;;;;;;;
27-11-2025;estimée;12;20 995;;;;;;;;;;;;;;;;
28-11-2025;estimée;13;21 007;;;;;;;;;;;;;;;;
29-11-2025;estimée;17;21 020;;;;;;;;;;;;;;;;
30-11-2025;evt réelle;12;21 037;;;;;;;;;;;;;;;;
01-12-2025;evt réelle;10;21 049;;;;;;;;;;;;;;;;
02-12-2025;evt réelle;11;21 059;;;;;;;;;;;;;;;;
03-12-2025;evt réelle;13;21 070;;;;;;;;;;;;;;;;
04-12-2025;estimée;14;21 083;;;;;;;;;;;;;;;;
05-12-2025;evt réelle;9;21 097;;;;;;;;;;;;;;;;
06-12-2025;evt réelle;13;21 106;;;;;;;;;;;;;;;;
07-12-2025;estimée;16;21 119;;;;;;;;;;;;;;;;
08-12-2025;estimée;10;21 135;;;;;;;;;;;;;;;;
09-12-2025;evt réelle;14;21 145;;;;;;;;;;;;;;;;
10-12-2025;evt réelle;14;21 159;;;;;;;;;;;;;;;;
11-12-2025;estimée;14;21 173;;;;;;;;;;;;;;;;
